id,zone_connection_id,map_id,stop_id,name,x_coordinate,y_coordinate,left_bins_count,right_bins_count,left_bins_distance,right_bins_distance,rack_levels,rack_distances,total_rack_height,created_at
1,1,1,STOP_1_2_001,L1,120,200,2,0,2.0,0.0,3,,,2025-01-15T08:32:00
2,1,1,STOP_1_2_002,R2,140,200,0,2,0.0,2.0,3,,,2025-01-15T08:32:00
3,1,1,STOP_1_2_003,L3,160,200,2,0,2.0,0.0,3,,,2025-01-15T08:32:00
4,1,1,STOP_1_2_004,R4,180,200,0,2,0.0,2.0,3,,,2025-01-15T08:32:00
5,2,1,STOP_2_3_001,L5,220,280,3,0,2.5,0.0,4,,,2025-01-15T08:37:00
6,2,1,STOP_2_3_002,R6,240,280,0,3,0.0,2.5,4,,,2025-01-15T08:37:00
7,2,1,STOP_2_3_003,L7,260,280,3,0,2.5,0.0,4,,,2025-01-15T08:37:00
8,3,1,STOP_3_4_001,L8,300,320,1,0,1.5,0.0,2,,,2025-01-15T08:42:00
9,3,1,STOP_3_4_002,R9,320,320,0,1,0.0,1.5,2,,,2025-01-15T08:42:00
10,4,1,STOP_1_5_001,L10,80,400,4,0,3.0,0.0,5,,,2025-01-15T08:47:00
11,4,1,STOP_1_5_002,R11,100,400,0,4,0.0,3.0,5,,,2025-01-15T08:47:00
12,4,1,STOP_1_5_003,L12,120,400,4,0,3.0,0.0,5,,,2025-01-15T08:47:00
13,5,1,STOP_5_6_001,L13,200,500,2,0,2.0,0.0,3,,,2025-01-15T08:52:00
14,5,1,STOP_5_6_002,R14,220,500,0,2,0.0,2.0,3,,,2025-01-15T08:52:00
15,6,2,STOP_1_2_001,C1,150,180,1,1,1.5,1.5,2,,,2025-01-14T14:37:00
16,6,2,STOP_1_2_002,C2,170,180,1,1,1.5,1.5,2,,,2025-01-14T14:37:00
17,7,2,STOP_2_3_001,C3,190,210,1,1,1.5,1.5,2,,,2025-01-14T14:42:00
18,8,3,STOP_1_2_001,D1,200,150,5,0,2.0,0.0,1,,,2025-01-13T11:22:00
19,8,3,STOP_1_2_002,D2,220,150,5,0,2.0,0.0,1,,,2025-01-13T11:22:00
20,9,3,STOP_2_3_001,S1,250,180,0,3,0.0,2.5,1,,,2025-01-13T11:27:0021
21,8,4,STOP_zone_1_Zone_2_001,Stop 1,100,100,4,4,2.0,2.0,2,,,2025-08-12T12:51:17.571480
22,8,4,STOP_zone_1_Zone_2_001,Stop 1,100,100,5,4,2.0,2.0,2,,,2025-08-12T13:07:32.584963
23,8,4,STOP_zone_1_Zone_2_001,Stop 1,100,100,5,4,2.0,2.0,2,,,2025-08-12T13:08:25.854337
24,8,4,STOP_zone_1_Zone_2_001,Stop 1,100,100,5,4,2.0,2.0,2,,,2025-08-12T13:08:36.079025
25,8,4,STOP_zone_1_Zone_2_001,Stop 1,100,100,2,2,2.0,2.0,5,,,2025-08-12T15:48:22.610455
26,8,4,STOP_zone_1_Zone_2_001,Stop zone_1 to Zone_2,100,100,2,19,2.0,2.0,4,"10.0,3.0,3.0,3.0",19.0,2025-08-12T18:04:43.060271
27,10,4,STOP_Zone_3_Zone_4_001,Stop Zone_3 to Zone_4,100,100,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-12T18:28:56.927648
28,8,4,STOP_zone_1_Zone_2_001,Stop zone_1 to Zone_2,100,100,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-12T18:30:56.744790
29,8,4,STOP_zone_1_Zone_2_001,Stop zone_1 to Zone_2,100,100,2,2,2.0,2.0,4,"1.0,2.0,3.0,4.0",10.0,2025-08-12T18:38:50.281344
30,14,7,STOP_1_2_001,Stop 1 to 2,100,100,4,4,2.0,2.0,2,"10.0,3.0",13.0,2025-08-12T18:50:32.911669
31,35,16,STOP_a_b_001,Stop a to b,100,100,2,2,2.0,2.0,1,10.0,10.0,2025-08-13T11:26:18.165239
32,36,16,STOP_b_c_001,Stop b to c,100,100,4,2,2.0,2.0,2,"10.0,3.0",13.0,2025-08-13T11:27:39.843883
33,35,16,STOP_a_b_001,Stop a to b,100,100,4,2,2.0,2.0,2,"10.0,3.0",13.0,2025-08-13T11:27:54.634059
34,37,16,STOP_c_d_001,Stop c to d,100,100,2,0,2.0,2.0,2,"10.0,3.0",13.0,2025-08-13T11:31:22.062721
35,38,17,STOP_a_b_001,Stop a to b,100,100,2,0,2.0,2.0,2,"10.0,3.0",13.0,2025-08-13T11:41:15.540559
36,39,18,STOP_a_b_001,Stop a to b,100,100,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T12:22:00.716519
37,39,18,STOP_a_b_001,Stop a to b,100,100,3,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T12:23:03.299424
38,40,19,STOP_a_b_001,Stop a to b,100,100,2,2,2.0,2.0,1,10.0,10.0,2025-08-13T12:33:49.864176
39,41,20,STOP_a_b_001,Stop a to b,100,100,2,2,2.0,2.0,1,10.0,10.0,2025-08-13T12:40:16.071378
40,42,21,STOP_1_2_001,Stop 1 to 2,100,100,2,2,2.0,2.0,3,"10.0,3.0,3.0",16.0,2025-08-13T12:50:39.767167
