id,map_id,from_zone,to_zone,magnitude,direction,zone_type,created_at
1,1,1,2,50.0,east,storage,2025-01-15T08:30:00
2,1,2,3,75.0,north,picking,2025-01-15T08:35:00
3,1,3,4,40.0,west,packing,2025-01-15T08:40:00
4,1,1,5,100.0,south,storage,2025-01-15T08:45:00
5,1,5,6,60.0,north,shipping,2025-01-15T08:50:00
6,2,1,2,30.0,northeast,storage,2025-01-14T14:35:00
7,2,2,3,25.0,southeast,storage,2025-01-14T14:40:00
8,4,zone_1,Zone_2,50.0,east,storage,2025-08-12T12:32:39.300500
9,4,Zone_2,Zone_3,50.0,north,storage,2025-08-12T13:22:52.199421
10,4,Zone_3,Zone_4,50.0,west,storage,2025-08-12T13:23:25.101492
11,5,Zone_1,Zone_1,50.0,north,storage,2025-08-12T13:45:22.860306
12,6,Zone_1,Zone_2,50.0,south,picking,2025-08-12T13:46:28.787138
13,6,Zone_2,zone_3,50.0,east,shipping,2025-08-12T17:07:17.858544
14,7,1,2,20.0,northwest,storage,2025-08-12T18:44:57.060221
15,8,a,b,46.0,southeast,storage,2025-08-13T10:47:41.192106
16,8,b,c,50.0,west,picking,2025-08-13T10:53:21.312425
17,8,c,d,50.0,northeast,storage,2025-08-13T10:54:02.482785
18,8,a,b,50.0,southwest,storage,2025-08-13T10:54:47.529446
19,9,zone_1,zone_2,50.0,north,storage,2025-08-13T10:56:05.189033
20,10,zone_1,zone_2,50.0,south,storage,2025-08-13T10:56:58.475203
21,11,zone_1,zone_2,50.0,east,storage,2025-08-13T11:02:16.138187
22,12,zone_1,zone_2,50.0,west,storage,2025-08-13T11:03:00.090412
23,12,zone_2,zone_3,50.0,north,storage,2025-08-13T11:03:21.889067
24,13,a,b,50.0,south,storage,2025-08-13T11:07:01.561746
25,13,b,c,50.0,east,storage,2025-08-13T11:07:41.268183
26,14,a,b,50.0,west,storage,2025-08-13T11:13:37.467290
27,14,b,c,50.0,north,storage,2025-08-13T11:14:13.214471
28,15,a,b,50.0,south,storage,2025-08-13T11:20:37.998959
29,15,b,c,50.0,south,storage,2025-08-13T11:21:20.649652
30,15,c,d,50.0,north,storage,2025-08-13T11:21:52.224526
31,15,d,e,50.0,east,storage,2025-08-13T11:22:16.677170
32,15,e,f,50.0,south,storage,2025-08-13T11:23:18.441895
33,15,f,g,50.0,north,storage,2025-08-13T11:23:45.383521
34,15,g,h,50.0,south,storage,2025-08-13T11:24:11.724750
35,16,a,b,50.0,south,storage,2025-08-13T11:24:43.812059
36,16,b,c,50.0,west,storage,2025-08-13T11:25:23.079315
37,16,c,d,50.0,south,storage,2025-08-13T11:29:10.880305
38,17,a,b,50.0,south,storage,2025-08-13T11:40:41.553477
39,18,a,b,50.0,south,storage,2025-08-13T12:21:26.915778
40,19,a,b,50.0,west,storage,2025-08-13T12:33:34.408398
41,20,a,b,50.0,south,storage,2025-08-13T12:39:58.055594
42,21,1,2,50.0,west,storage,2025-08-13T12:50:29.222734
43,22,a,b,50.0,north,storage,2025-08-13T13:07:35.105927
44,23,a,b,50.0,west,storage,2025-08-13T13:20:51.162611
45,24,1,2,50.0,north,storage,2025-08-13T13:27:45.411514
46,25,1,2,50.0,south,storage,2025-08-13T13:32:23.673202
47,26,1,2,50.0,south,storage,2025-08-13T13:34:34.546946
48,26,2,3,50.0,west,storage,2025-08-13T13:34:56.539771
49,27,1,2,50.0,north,storage,2025-08-13T13:35:41.088506
50,28,1,2,50.0,north,storage,2025-08-13T13:37:48.689344
51,29,1,2,50.0,north,storage,2025-08-13T14:45:45.498525
52,30,1,2,100.0,north,storage,2025-08-13T14:51:16.032638
53,31,a,b,50.0,north,storage,2025-08-13T15:06:37.819297
54,32,1,2,50.0,north,storage,2025-08-13T15:15:08.456145
55,33,1,2,50.0,south,storage,2025-08-13T15:18:07.562760
56,34,1,2,50.0,south,storage,2025-08-13T15:30:42.463157
57,35,1,2,50.0,north,storage,2025-08-13T15:35:09.132402
58,36,1,2,50.0,south,storage,2025-08-13T15:37:07.176429
59,37,1,2,50.0,north,storage,2025-08-13T15:37:36.496536
60,38,1,2,50.0,south,storage,2025-08-13T15:52:20.319625
61,38,2,3,50.0,east,storage,2025-08-13T15:54:09.013861
62,39,1,2,50.0,north,storage,2025-08-13T15:56:10.040317
63,39,2,3,50.0,east,storage,2025-08-13T15:56:49.803552
64,39,3,4,50.0,northeast,storage,2025-08-13T16:00:01.222566
65,40,1,2,50.0,south,storage,2025-08-13T16:03:23.553149
66,40,2,3,50.0,east,storage,2025-08-13T16:03:43.471812
67,41,1,2,50.0,south,storage,2025-08-13T16:06:12.176302
68,42,1,2,50.0,north,storage,2025-08-13T16:14:47.844351
69,43,1,2,50.0,south,storage,2025-08-13T16:16:14.862792
70,44,1,2,50.0,north,storage,2025-08-13T16:28:04.310229
71,45,1,2,50.0,north,storage,2025-08-13T16:34:01.724520
72,46,1,2,50.0,north,storage,2025-08-13T16:43:45.190121
73,47,1,2,50.0,south,storage,2025-08-13T16:44:09.055284
74,48,1,2,50.0,south,storage,2025-08-13T16:47:39.952305
75,49,1,2,50.0,south,storage,2025-08-13T16:57:29.247966
76,50,1,2,50.0,west,storage,2025-08-13T17:14:16.773812
77,50,2,3,50.0,north,storage,2025-08-13T17:15:12.720123
78,50,3,4,50.0,east,storage,2025-08-13T17:15:29.130229
79,50,4,5,50.0,south,storage,2025-08-13T17:15:42.442820
80,51,1,2,50.0,north,storage,2025-08-13T17:16:06.188821
81,51,2,3,50.0,south,storage,2025-08-13T17:16:25.949097
82,52,1,2,50.0,south,storage,2025-08-13T17:16:57.203722
83,52,2,3,50.0,east,storage,2025-08-13T17:17:10.529471
84,53,1,2,50.0,north,storage,2025-08-13T17:19:54.521189
85,53,2,3,50.0,south,storage,2025-08-13T17:20:36.925689
86,53,3,4,50.0,east,storage,2025-08-13T17:21:59.979256
87,53,4,5,50.0,south,storage,2025-08-13T17:26:05.347613
88,54,1,2,50.0,north,storage,2025-08-13T17:30:12.004888
89,54,2,3,50.0,south,storage,2025-08-13T17:30:30.398465
90,55,1,2,50.0,east,storage,2025-08-13T17:33:42.495909
91,55,2,3,50.0,west,storage,2025-08-13T17:34:07.159001
92,56,1,2,50.0,south,storage,2025-08-13T17:35:10.592502
93,57,1,2,50.0,south,storage,2025-08-13T17:36:24.840531
94,57,2,3,200.0,east,storage,2025-08-13T17:37:01.820977
95,58,1,2,50.0,north,storage,2025-08-13T17:37:42.279304
96,58,2,3,50.0,east,storage,2025-08-13T17:38:03.079655
97,58,3,4,50.0,south,storage,2025-08-13T17:38:27.942163
98,58,4,5,50.0,west,storage,2025-08-13T17:40:26.647289
99,59,1,2,50.0,north,storage,2025-08-13T17:43:42.820936
100,59,2,3,50.0,east,storage,2025-08-13T17:43:54.447597
101,60,1,2,50.0,south,storage,2025-08-13T17:44:15.509134
102,60,2,3,50.0,east,storage,2025-08-13T17:44:34.077210
103,60,3,4,100.0,north,storage,2025-08-13T17:45:04.095040
104,61,1,2,50.0,north,storage,2025-08-13T18:53:27.539868
105,62,1,2,50.0,north,storage,2025-08-14T12:22:08.531594
106,63,1,2,50.0,north,storage,2025-08-14T12:43:03.687921
107,63,2,3,50.0,east,storage,2025-08-14T12:43:52.269450
108,63,3,4,50.0,south,storage,2025-08-14T12:45:20.353947
109,64,1,2,50.0,north,quality_control,2025-08-14T14:31:41.724024
110,65,1,2,50.0,west,storage,2025-08-14T14:45:04.633463
111,66,1,2,50.0,north,storage,2025-08-14T14:55:35.574727
112,67,1,2,50.0,north,storage,2025-08-14T15:25:53.827164
113,68,1,2,50.0,east,storage,2025-08-14T17:51:01.339455
114,69,1,2,50.0,north,storage,2025-08-14T18:16:56.773153
115,70,1,2,50.0,north,storage,2025-08-14T18:22:59.864051
116,72,1,2,50.0,south,storage,2025-08-14T18:28:47.921042
117,74,1,2,50.0,north,storage,2025-08-16T11:25:59.401138
118,75,1,2,50.0,north,storage,2025-08-16T11:31:41.201289
119,76,1,2,50.0,north,storage,2025-08-16T11:50:39.767246
120,77,1,2,50.0,north,storage,2025-08-16T12:10:34.785376
121,78,1,2,50.0,north,storage,2025-08-16T12:18:17.145453
122,79,1,2,50.0,north,storage,2025-08-16T12:59:47.940934
123,80,1,2,50.0,north,storage,2025-08-16T13:01:01.931080
124,81,1,2,50.0,north,storage,2025-08-16T13:11:09.610473
125,82,1,2,50.0,north,storage,2025-08-16T14:41:33.644991
126,83,1,2,50.0,west,storage,2025-08-16T14:46:11.508556
127,84,1,2,50.0,north,storage,2025-08-16T15:42:38.636042
128,85,1,2,50.0,north,storage,2025-08-16T17:02:27.133199
129,86,1,2,50.0,north,storage,2025-08-16T17:03:07.863465
130,87,1,2,50.0,north,storage,2025-08-16T17:13:19.101043
131,88,1,2,50.0,west,storage,2025-08-16T17:18:39.495703
132,89,1,2,50.0,north,storage,2025-08-16T17:23:40.401647
133,89,2,3,100.0,north,storage,2025-08-16T18:06:29.312861
134,91,1,2,50.0,north,storage,2025-08-16T18:14:29.334107
135,92,1,2,50.0,north,storage,2025-08-16T18:20:43.094192
136,93,1,2,100.0,north,storage,2025-08-16T18:29:42.022508
137,94,1,2,50.0,north,storage,2025-08-16T18:33:04.921508
138,95,1,2,50.0,north,storage,2025-08-16T18:42:50.204096
139,96,1,2,50.0,north,storage,2025-08-16T18:49:31.614657
140,97,1,2,50.0,north,storage,2025-08-16T19:02:05.075547
141,98,1,2,50.0,north,storage,2025-08-16T19:06:03.348330
142,99,1,2,50.0,north,storage,2025-08-16T19:13:01.173388
143,99,2,3,50.0,east,storage,2025-08-16T19:32:44.885586
144,99,3,4,50.0,north,storage,2025-08-16T19:34:03.545968
145,99,4,5,50.0,north,storage,2025-08-16T19:34:34.670173
146,99,5,6,50.0,west,storage,2025-08-16T19:34:55.217976
147,100,1,2,50.0,east,storage,2025-08-16T20:03:14.431264
148,101,1,2,50.0,north,storage,2025-08-16T20:07:04.826910
149,101,2,3,50.0,west,storage,2025-08-16T20:07:42.996223
