id,task_id,task_name,task_type,status,assigned_device_id,assigned_user_id,description,estimated_duration,actual_duration,created_at,started_at,completed_at,map_id,zone_ids,stop_ids,task_details
1,TASK0001,123,picking,completed,2,,,,189,2025-09-06T12:49:40.891823,2025-09-06T12:50:00.367423,2025-09-06T15:59:53.966952,118,182,STOP_01_LEFT1,"{""pickup_map_id"": ""118"", ""pickup_map_name"": ""bhj"", ""drop_zone_id"": ""182"", ""drop_zone_name"": ""1 \u2192 2"", ""drop_stops"": [""STOP_01_LEFT1""], ""drop_stop_names"": [""Stop 1 - Left Bin 1 (STOP_01_LEFT1)""]}"
2,TASK0002,A1,picking,cancelled,5,,,,,2025-09-06T13:42:07.413231,2025-09-06T16:00:22.919884,,110,164,STOP_01_LEFT1,"{""pickup_map_id"": ""110"", ""pickup_map_name"": ""nbccz"", ""drop_zone_id"": ""164"", ""drop_zone_name"": ""1 \u2192 2"", ""drop_stops"": [""STOP_01_LEFT1""], ""drop_stop_names"": [""Stop 1 - Left Bin 1 (STOP_01_LEFT1)""]}"
3,TASK0003,B1,picking,cancelled,5,,,,,2025-09-06T13:42:41.051128,2025-09-06T13:42:49.470578,,110,165,"STOP_05_LEFT1,STOP_06_RIGHT1","{""pickup_map_id"": ""110"", ""pickup_map_name"": ""nbccz"", ""drop_zone_id"": ""165"", ""drop_zone_name"": ""2 \u2192 3"", ""drop_stops"": [""STOP_05_LEFT1"", ""STOP_06_RIGHT1""], ""drop_stop_names"": [""Stop 5 - Left Bin 1 (STOP_05_LEFT1)"", ""Stop 6 - Right Bin 1 (STOP_06_RIGHT1)""]}"
4,TASK0004,asa,picking,cancelled,4,,,,,2025-09-06T15:57:39.844617,2025-09-06T15:57:50.536662,,118,182,"STOP_01_LEFT1,STOP_02_RIGHT1","{""pickup_map_id"": ""118"", ""pickup_map_name"": ""bhj"", ""drop_zone_id"": ""182"", ""drop_zone_name"": ""1 \u2192 2"", ""drop_stops"": [""STOP_01_LEFT1"", ""STOP_02_RIGHT1""], ""drop_stop_names"": [""Stop 1 - Left Bin 1 (STOP_01_LEFT1)"", ""Stop 2 - Right Bin 1 (STOP_02_RIGHT1)""]}"
5,TASK0005,nbnb,picking,cancelled,4,,,,,2025-09-06T16:02:31.209085,2025-09-06T16:02:49.508471,,116,180,,"{""pickup_map_id"": ""116"", ""pickup_map_name"": ""abc"", ""drop_zone_id"": ""180"", ""drop_zone_name"": ""b \u2192 c"", ""drop_stops"": [], ""drop_stop_names"": []}"
6,TASK0006,ascsa,storing,completed,4,,,,37,2025-09-06T18:09:13.857795,2025-09-06T18:09:27.378820,2025-09-06T18:46:28.511271,118,182,STOP_01_LEFT1,"{""storing_map_id"": ""118"", ""storing_map_name"": ""bhj"", ""pickup_zone_id"": ""182"", ""pickup_zone_name"": ""1 \u2192 2"", ""pickup_stops"": [""STOP_01_LEFT1""], ""pickup_stop_names"": [""Stop 1 - Left Bin 1 (STOP_01_LEFT1)""]}"
7,TASK0007,1234,picking,completed,1,,,,27,2025-09-06T18:18:48.419263,2025-09-06T18:19:16.676215,2025-09-06T18:46:33.731910,119,185,"STOP_01_LEFT1,STOP_02_RIGHT1,STOP_03_LEFT2","{""pickup_map_id"": ""119"", ""pickup_map_name"": ""aaa"", ""drop_zone_id"": ""185"", ""drop_zone_name"": ""c \u2192 d"", ""drop_stops"": [""STOP_01_LEFT1"", ""STOP_02_RIGHT1"", ""STOP_03_LEFT2""], ""drop_stop_names"": [""Stop 1 - Left Bin 1 (STOP_01_LEFT1)"", ""Stop 2 - Right Bin 1 (STOP_02_RIGHT1)"", ""Stop 3 - Left Bin 2 (STOP_03_LEFT2)""]}"
8,TASK0008,aaa,picking,completed,1,,,,4,2025-09-06T18:46:44.808477,2025-09-06T18:56:29.637834,2025-09-06T19:01:26.891963,113,168,STOP_01_LEFT1,"{""pickup_map_id"": ""113"", ""pickup_map_name"": ""lllm"", ""drop_zone_id"": ""168"", ""drop_zone_name"": ""a \u2192 b"", ""drop_stops"": [""STOP_01_LEFT1""], ""drop_stop_names"": [""Stop 1 - Left Bin 1 (STOP_01_LEFT1)""]}"
9,TASK0009,aanan,storing,running,5,,,,,2025-09-06T18:57:11.740858,2025-09-06T18:57:25.140543,,110,165,STOP_06_RIGHT1,"{""storing_map_id"": ""110"", ""storing_map_name"": ""nbccz"", ""pickup_zone_id"": ""165"", ""pickup_zone_name"": ""2 \u2192 3"", ""pickup_stops"": [""STOP_06_RIGHT1""], ""pickup_stop_names"": [""Stop 6 - Right Bin 1 (STOP_06_RIGHT1)""]}"
10,TASK0010,jjx,picking,running,4,,,,,2025-09-06T19:00:05.802644,2025-09-06T19:00:14.250943,,119,185,STOP_02_RIGHT1,"{""pickup_map_id"": ""119"", ""pickup_map_name"": ""aaa"", ""drop_zone_id"": ""185"", ""drop_zone_name"": ""c \u2192 d"", ""drop_stops"": [""STOP_02_RIGHT1""], ""drop_stop_names"": [""Stop 2 - Right Bin 1 (STOP_02_RIGHT1)""]}"
