id,map_id,from_zone,to_zone,magnitude,direction,zone_type,created_at
1,1,b,c,3.0,north,storage,
2,1,a,b,3.0,north,storage,
3,2,1,2,5.0,north,storage,
4,2,2,3,5.0,north,storage,
5,4,1,2,5.0,north,storage,2025-09-11T18:06:15.924980
6,4,2,3,5.0,north,storage,2025-09-11T18:07:28.724229
7,4,3,4,5.0,east,storage,2025-09-11T18:08:25.806290
8,5,1,2,5.0,north,storage,2025-09-11T18:40:56.452302
9,5,2,3,5.0,north,storage,2025-09-11T18:41:06.133590
10,6,1,2,5.0,north,storage,2025-09-12T13:47:58.885326
11,6,2,3,5.0,east,storage,2025-09-12T13:48:20.325730
12,6,3,4,5.0,north,storage,2025-09-12T14:05:17.535905
13,6,2,5,5.0,north,storage,2025-09-12T14:10:43.761424
14,6,5,2,50.0,north,storage,2025-09-12T14:17:04.147421
15,6,5,2,50.0,south,storage,2025-09-12T14:18:05.386296
16,6,4,5,5.0,west,storage,2025-09-12T15:31:30.013903
17,7,1,2,5.0,north,storage,2025-09-12T15:36:29.357814
18,7,2,3,5.0,east,storage,2025-09-12T15:36:55.706387
19,7,3,4,5.0,north,storage,2025-09-12T15:37:22.614583
20,7,4,5,5.0,west,storage,2025-09-12T15:37:44.964405
21,7,5,2,5.0,south,storage,2025-09-12T15:38:08.008255
22,8,1,2,5.0,north,storage,2025-09-17T13:41:46.847637
23,8,2,3,5.0,east,storage,2025-09-17T13:42:16.374940
24,8,2,4,5.0,north,storage,2025-09-17T13:42:56.085013
25,8,2,5,5.0,west,storage,2025-09-17T13:43:18.490033
26,8,4,7,5.0,north,storage,2025-09-21T12:50:33.830761
27,8,4,8,5.0,east,storage,2025-09-21T12:51:03.121703
28,8,4,9,5.0,west,storage,2025-09-21T12:51:36.185665
29,8,9,10,5.0,west,storage,2025-09-21T12:54:05.978490
30,8,9,11,5.0,north,storage,2025-09-21T12:54:25.274872
31,9,20,21,5.0,east,storage,2025-09-22T16:09:03.132973
32,9,21,22,5.0,north,storage,2025-09-22T16:09:29.734880
33,9,21,23,5.0,east,storage,2025-09-22T16:09:42.252735
34,9,21,24,5.0,south,storage,2025-09-22T16:10:01.676322
35,8,9,4,5.0,east,storage,2025-09-23T10:32:35.246666
36,8,5,2,5.0,east,storage,2025-09-23T10:33:37.092761
37,10,1,2,5.0,north,storage,2025-09-23T16:28:40.225323
38,10,2,3,5.0,east,storage,2025-09-23T16:29:15.457119
39,10,2,4,5.0,west,storage,2025-09-23T16:29:31.773577
40,11,1,2,5.0,north,storage,2025-09-24T12:12:30.114409
41,11,2,3,5.0,east,storage,2025-09-24T12:12:48.161559
42,11,3,2,5.0,west,storage,2025-09-24T12:13:01.038543
43,11,2,1,5.0,south,storage,2025-09-24T12:13:12.491911
44,10,4,2,5.0,east,storage,2025-09-24T13:44:10.356751
