id,map_id,from_zone,to_zone,magnitude,direction,zone_type,created_at
26,14,a,b,50.0,west,storage,2025-08-13T11:13:37.467290
27,14,b,c,50.0,north,storage,2025-08-13T11:14:13.214471
28,15,a,b,50.0,south,storage,2025-08-13T11:20:37.998959
29,15,b,c,50.0,south,storage,2025-08-13T11:21:20.649652
30,15,c,d,50.0,north,storage,2025-08-13T11:21:52.224526
31,15,d,e,50.0,east,storage,2025-08-13T11:22:16.677170
32,15,e,f,50.0,south,storage,2025-08-13T11:23:18.441895
33,15,f,g,50.0,north,storage,2025-08-13T11:23:45.383521
34,15,g,h,50.0,south,storage,2025-08-13T11:24:11.724750
35,16,a,b,50.0,south,storage,2025-08-13T11:24:43.812059
36,16,b,c,50.0,west,storage,2025-08-13T11:25:23.079315
37,16,c,d,50.0,south,storage,2025-08-13T11:29:10.880305
39,18,a,b,50.0,south,storage,2025-08-13T12:21:26.915778
40,19,a,b,50.0,west,storage,2025-08-13T12:33:34.408398
41,20,a,b,50.0,south,storage,2025-08-13T12:39:58.055594
42,21,1,2,50.0,west,storage,2025-08-13T12:50:29.222734
43,22,a,b,50.0,north,storage,2025-08-13T13:07:35.105927
44,23,a,b,50.0,west,storage,2025-08-13T13:20:51.162611
45,24,1,2,50.0,north,storage,2025-08-13T13:27:45.411514
46,25,1,2,50.0,south,storage,2025-08-13T13:32:23.673202
47,26,1,2,50.0,south,storage,2025-08-13T13:34:34.546946
48,26,2,3,50.0,west,storage,2025-08-13T13:34:56.539771
49,27,1,2,50.0,north,storage,2025-08-13T13:35:41.088506
50,28,1,2,50.0,north,storage,2025-08-13T13:37:48.689344
51,29,1,2,50.0,north,storage,2025-08-13T14:45:45.498525
52,30,1,2,100.0,north,storage,2025-08-13T14:51:16.032638
53,31,a,b,50.0,north,storage,2025-08-13T15:06:37.819297
54,32,1,2,50.0,north,storage,2025-08-13T15:15:08.456145
55,33,1,2,50.0,south,storage,2025-08-13T15:18:07.562760
56,34,1,2,50.0,south,storage,2025-08-13T15:30:42.463157
57,35,1,2,50.0,north,storage,2025-08-13T15:35:09.132402
58,36,1,2,50.0,south,storage,2025-08-13T15:37:07.176429
59,37,1,2,50.0,north,storage,2025-08-13T15:37:36.496536
60,38,1,2,50.0,south,storage,2025-08-13T15:52:20.319625
61,38,2,3,50.0,east,storage,2025-08-13T15:54:09.013861
62,39,1,2,50.0,north,storage,2025-08-13T15:56:10.040317
63,39,2,3,50.0,east,storage,2025-08-13T15:56:49.803552
64,39,3,4,50.0,northeast,storage,2025-08-13T16:00:01.222566
65,40,1,2,50.0,south,storage,2025-08-13T16:03:23.553149
66,40,2,3,50.0,east,storage,2025-08-13T16:03:43.471812
67,41,1,2,50.0,south,storage,2025-08-13T16:06:12.176302
68,42,1,2,50.0,north,storage,2025-08-13T16:14:47.844351
69,43,1,2,50.0,south,storage,2025-08-13T16:16:14.862792
70,44,1,2,50.0,north,storage,2025-08-13T16:28:04.310229
71,45,1,2,50.0,north,storage,2025-08-13T16:34:01.724520
72,46,1,2,50.0,north,storage,2025-08-13T16:43:45.190121
73,47,1,2,50.0,south,storage,2025-08-13T16:44:09.055284
74,48,1,2,50.0,south,storage,2025-08-13T16:47:39.952305
75,49,1,2,50.0,south,storage,2025-08-13T16:57:29.247966
76,50,1,2,50.0,west,storage,2025-08-13T17:14:16.773812
77,50,2,3,50.0,north,storage,2025-08-13T17:15:12.720123
78,50,3,4,50.0,east,storage,2025-08-13T17:15:29.130229
79,50,4,5,50.0,south,storage,2025-08-13T17:15:42.442820
80,51,1,2,50.0,north,storage,2025-08-13T17:16:06.188821
81,51,2,3,50.0,south,storage,2025-08-13T17:16:25.949097
82,52,1,2,50.0,south,storage,2025-08-13T17:16:57.203722
83,52,2,3,50.0,east,storage,2025-08-13T17:17:10.529471
84,53,1,2,50.0,north,storage,2025-08-13T17:19:54.521189
85,53,2,3,50.0,south,storage,2025-08-13T17:20:36.925689
86,53,3,4,50.0,east,storage,2025-08-13T17:21:59.979256
87,53,4,5,50.0,south,storage,2025-08-13T17:26:05.347613
88,54,1,2,50.0,north,storage,2025-08-13T17:30:12.004888
89,54,2,3,50.0,south,storage,2025-08-13T17:30:30.398465
90,55,1,2,50.0,east,storage,2025-08-13T17:33:42.495909
91,55,2,3,50.0,west,storage,2025-08-13T17:34:07.159001
92,56,1,2,50.0,south,storage,2025-08-13T17:35:10.592502
93,57,1,2,50.0,south,storage,2025-08-13T17:36:24.840531
94,57,2,3,200.0,east,storage,2025-08-13T17:37:01.820977
95,58,1,2,50.0,north,storage,2025-08-13T17:37:42.279304
96,58,2,3,50.0,east,storage,2025-08-13T17:38:03.079655
97,58,3,4,50.0,south,storage,2025-08-13T17:38:27.942163
