id,task_id,task_name,task_type,status,assigned_device_id,assigned_user_id,description,estimated_duration,actual_duration,created_at,started_at,completed_at,map_id,zone_ids,stop_ids,task_details
1,TASK0001,ttsk1,auditing,running,1,,,,,2025-10-03T16:29:35.875329,2025-10-03T16:29:46.383514,,1,,,"{""auditing_map_id"": ""1"", ""auditing_map_name"": ""mp1"", ""barcode"": """"}"
2,TASK0002,tttt,auditing,completed,5,,,,0,2025-10-08T16:48:50.566945,2025-10-08T16:50:22.022411,2025-10-08T16:50:59.421952,3,,,"{""auditing_map_id"": ""3"", ""auditing_map_name"": ""k"", ""barcode"": """"}"
3,TASK0003,ttr,auditing,completed,5,,,,18,2025-10-08T16:54:20.072235,2025-10-08T16:55:22.035473,2025-10-08T17:14:07.158067,3,,,"{""auditing_map_id"": ""3"", ""auditing_map_name"": ""k"", ""barcode"": """"}"
4,TASK0004,tta,auditing,completed,5,,,,0,2025-10-08T17:14:34.021513,2025-10-08T17:16:41.470672,2025-10-08T17:17:05.076225,3,,,"{""auditing_map_id"": ""3"", ""auditing_map_name"": ""k"", ""barcode"": """"}"
5,TASK0005,ta1,auditing,completed,6,,,,46,2025-10-08T18:42:11.356000,2025-10-08T18:58:36.191263,2025-10-08T19:44:44.062893,3,,,"{""auditing_map_id"": ""3"", ""auditing_map_name"": ""k"", ""barcode"": """"}"
6,TASK0006,taa1,auditing,completed,6,,,,0,2025-10-08T19:47:37.694951,2025-10-08T20:10:35.500187,2025-10-08T20:11:23.602997,3,,,"{""auditing_map_id"": ""3"", ""auditing_map_name"": ""k"", ""barcode"": """"}"
7,TASK0007,taa3,auditing,completed,6,,,,0,2025-10-08T20:12:12.079856,2025-10-09T11:56:12.187130,2025-10-09T11:56:19.272460,3,,,"{""auditing_map_id"": ""3"", ""auditing_map_name"": ""k"", ""barcode"": """"}"
8,TASK0008,trtr,auditing,completed,6,,,,0,2025-10-09T11:57:12.306525,2025-10-09T12:01:19.813906,2025-10-09T12:02:12.873672,3,,,"{""auditing_map_id"": ""3"", ""auditing_map_name"": ""k"", ""barcode"": """"}"
9,TASK0009,ttsk,auditing,completed,6,,,,1,2025-10-09T12:02:48.790081,2025-10-09T12:05:13.904063,2025-10-09T12:06:32.209768,3,,,"{""auditing_map_id"": ""3"", ""auditing_map_name"": ""k"", ""barcode"": """"}"
10,TASK0010,ww,auditing,completed,6,,,,3,2025-10-09T12:08:19.302871,2025-10-09T13:56:59.611580,2025-10-09T14:00:49.623611,3,,,"{""auditing_map_id"": ""3"", ""auditing_map_name"": ""k"", ""barcode"": """"}"
11,TASK0011,TAASKK,auditing,completed,6,,,,3,2025-10-09T14:01:11.100763,2025-10-09T14:11:07.817148,2025-10-09T14:14:18.337375,3,,,"{""auditing_map_id"": ""3"", ""auditing_map_name"": ""k"", ""barcode"": """"}"
12,TASK0012,bb,auditing,completed,6,,,,32,2025-10-09T15:20:16.436189,2025-10-09T15:20:36.629621,2025-10-09T15:53:21.994302,3,,,"{""auditing_map_id"": ""3"", ""auditing_map_name"": ""k"", ""barcode"": """"}"
13,TASK0013,cc,auditing,completed,6,,,,23,2025-10-09T15:53:37.767857,2025-10-09T15:55:20.014671,2025-10-09T16:18:20.953089,3,,,"{""auditing_map_id"": ""3"", ""auditing_map_name"": ""k"", ""barcode"": """"}"
14,TASK0014,DD,auditing,completed,6,,,,22,2025-10-09T16:18:39.239792,2025-10-09T16:21:07.441762,2025-10-09T16:43:58.095676,3,,,"{""auditing_map_id"": ""3"", ""auditing_map_name"": ""k"", ""barcode"": """"}"
15,TASK0015,EE,auditing,completed,6,,,,2,2025-10-09T16:49:31.494579,2025-10-09T17:39:10.826770,2025-10-09T17:41:23.208050,3,,,"{""auditing_map_id"": ""3"", ""auditing_map_name"": ""k"", ""barcode"": """"}"
16,TASK0016,dd,auditing,pending,6,,,,,2025-10-09T17:42:47.822706,,,3,,,"{""auditing_map_id"": ""3"", ""auditing_map_name"": ""k"", ""barcode"": """"}"
