timestamp,right_drive,left_drive,right_motor,left_motor,current_location
2025-10-15T22:41:01.980748,0,0,0,0,1
2025-10-15T22:41:01.980748,100,100,0,0,1
2025-10-15T22:41:01.980748,0,0,0,0,1
2025-10-16T21:44:17.530101,0,0,0.0,0.0,1
2025-10-20T23:31:58.307836,0,0,0.0,0.0,1
2025-10-15T22:41:01.980748,100,100,0,0,1
2025-10-15T22:41:01.980748,1000,1000,0,0,1
2025-10-15T22:41:01.980748,0,0,0,0,2
2025-10-15T22:41:01.980748,550,-550,45,45,2
2025-10-15T22:41:01.980748,0,0,0,0,2
2025-10-15T22:41:01.980748,0,0,0,0,3
2025-10-15T22:41:01.980748,1100,-1100,45,45,3
2025-10-15T22:41:01.980748,0,0,0,0,3
2025-10-15T22:41:01.980748,100,100,0,0,3
2025-10-15T22:41:01.980748,0,0,0,0,2
2025-10-15T22:41:01.980748,-550,550,45,45,2
2025-10-15T22:41:01.980748,0,0,0,0,2
2025-10-15T22:41:01.980748,100,100,0,0,2
2025-10-15T22:41:01.980748,0,0,0,0,1
2025-10-15T22:41:01.980748,1100,-1100,45,45,1
2025-10-15T22:41:01.980748,0,0,0,0,1
2025-10-21T05:36:25.705865,0,0,0.0,0.0,2
2025-10-21T05:37:13.328449,0,0,0.0,0.0,3
2025-10-21T05:37:32.718370,0,0,0.0,0.0,1
