call_id,zone_id,zone_name,timestamp,status,assigned_robot,completed_at
CALL0001,1,Zone_A,2025-10-27T18:33:55.774461,pending,,
CALL0001,1,Zone_A,2025-10-27T18:33:55.801192,assigned,2,
CALL0001,1,Zone_A,2025-10-27T18:33:55.774461,pending,,
CALL0001,1,Zone_A,2025-10-27T18:33:55.801192,assigned,2,
CALL0002,1,Zone_A,2025-10-28T09:27:47.417785,call_robot,,
CALL0002,1,Zone_A,2025-10-28T09:27:47.451954,called_robot,,
CALL0003,1,Zone_A,2025-10-28T09:30:01.195579,call_robot,,
CALL0003,1,Zone_A,2025-10-28T09:30:01.236020,called_robot,,
CALL0004,1,Zone_A,2025-10-28T09:30:25.259137,call_robot,,
CALL0005,1,Zone_A,2025-10-28T09:32:51.018860,call_robot,,
CALL0005,1,Zone_A,2025-10-28T09:32:51.041020,called_robot,,
CALL0006,1,Spinno,2025-10-28T15:42:38.100996,call_robot,,
CALL0007,1,Spinno,2025-10-28T15:45:16.750422,call_robot,,
CALL0008,1,Spinno,2025-10-28T15:45:23.315752,call_robot,,
CALL0009,1,Spinno,2025-10-28T15:45:25.759981,call_robot,,
CALL0010,1,Spinno,2025-10-28T15:45:53.921475,call_robot,,
